1000	WAGES - ACADEMIC		1000 - 1999 PAYROLL
1015	PERQUISITE-ACADEMIC		1000 - 1999 PAYROLL
1091	1991-92 FACULTY MERITS AND PRO		1000 - 1999 PAYROLL
1100	WAGES - NON-ACADEMIC		1000 - 1999 PAYROLL
1115	PERQUISITE-STAFF		1000 - 1999 PAYROLL
1150	SRDP AWARD	SRDP--Staff Recognition & Development Program	1000 - 1999 PAYROLL
1160	STAFF RECOGNITION&DEVEL PRGM		1000 - 1999 PAYROLL
1180	SRDP AWARD FUNDING	SRDP--Staff Recognition & Development Program	1000 - 1999 PAYROLL
1200	SABBATICAL LEAVE-IN RESIDENCE		1000 - 1999 PAYROLL
1300	SABBATICAL LEAVE-NOT IN RESID		1000 - 1999 PAYROLL
1400	RETIREMENT BENEFITS ALLOWANCE		1000 - 1999 PAYROLL
1500	WAGES - NON-ACAD NO COMP INS		1000 - 1999 PAYROLL
1610	TERM BEN-SALARIES-VOLUNTARY		1000 - 1999 PAYROLL
1620	TERM BEN-SALARIES-INVOLUNTARY		1000 - 1999 PAYROLL
1700	WAGES EARNED NOT PD PRE DEATH		1000 - 1999 PAYROLL
1800	ACCRUED VACATION		1000 - 1999 PAYROLL
1940	SALARY ACCRUAL		1000 - 1999 PAYROLL
1950	VACATION ACCRUAL	Used by Accounting during year-end closing process	1000 - 1999 PAYROLL
1960	COMPENSATORY TIME ACCRUAL	Used by Accounting during year-end closing process	1000 - 1999 PAYROLL
1970	SMSPP ACCRUAL	Used by Accounting during year-end closing process	1000 - 1999 PAYROLL
1980	SALARY AND WAGES-CAPITAL		1000 - 1999 PAYROLL
1982	ELIMINATION-SALARIES & WAGES		1000 - 1999 PAYROLL
2000	TRAVEL	Use for all travel expenses (In State and Out Of State) except for conference and registration fees.	2000 - 2999 TRAVEL
2005	SRDP DEVELOPMENT AWARD	SRDP--Staff Recognition & Development Program	2000 - 2999 TRAVEL
2010	TRAVEL -- USER DEFINED	Use 2000 for all travel, 2100 for conference and registration fees.	2000 - 2999 TRAVEL
2011	TRAVEL -- USER DEFINED	Use 2000 for all travel, 2100 for conference and registration fees.	2000 - 2999 TRAVEL
2015	TRAVEL -- PARTICIPANT SUPPORT	Must conform to Participant Support rules--see object code 7215 (charges excluded from overhead)	2000 - 2999 TRAVEL
2024	RECRUITING TRAVEL	Athletics	2000 - 2999 TRAVEL
2024	TEAM TRAVEL	Athletics	2000 - 2999 TRAVEL
2031	BAND/CHEER TRAVEL	Athletics	2000 - 2999 TRAVEL
2100	TRAVEL -- CONFERENCE FEES	Includes fees for symposia, workshops, societal meetings, retreats	2000 - 2999 TRAVEL
2300	UNIVERSITY GARAGE CHARGES	Transportation Services recharges only.	2000 - 2999 TRAVEL
2700	REMOVAL & MOVING EXPENSE	Also use for moving expenses covered by Purchase Order.	2000 - 2999 TRAVEL
2701	REMOVAL EXPENSE-USER DEFINED	Use 2000 for all travel, 2100 for conference and registration fees.	2000 - 2999 TRAVEL
2900	TRAVEL -- USER DEFINED	Use 2000 for all travel, 2100 for conference and registration fees.	2000 - 2999 TRAVEL
2901	TRAVEL -- USER DEFINED	Use 2000 for all travel, 2100 for conference and registration fees.	2000 - 2999 TRAVEL
2902	TRAVEL -- USER DEFINED	Use 2000 for all travel, 2100 for conference and registration fees.	2000 - 2999 TRAVEL
2910	TRAVEL -- USER DEFINED	Use 2000 for all travel, 2100 for conference and registration fees.	2000 - 2999 TRAVEL
2911	TRAVEL -- USER DEFINED	Use 2000 for all travel, 2100 for conference and registration fees.	2000 - 2999 TRAVEL
3000	FREIGHT	Freight and shipping charges paid by campus - normally outgoing shipping. Should not be used for freight on inventorial items - use 9000 - 9999 series	3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
3700	UNEX ADMIN EXP	University Extension administrative expense - indirect cost recharge	3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
3710	ISC ADMIN ALLOCATION		3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
3730	CAMPUS GIFT SUPPORT		3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
3740	CAMPUS SUPPORT		3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
3800	OVERHEAD-CONTRACT&GRANT	Indirect cost recovery. Accounting use only.	3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
3835	OVERHEAD-CAMPUS SUPPORT		3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
3850	ELIMINATION NON-REPORT EXPENS	ACCOUNTING USE ONLY	3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
3900	RECHARGES	Only for credits to the accounts of recharging units - used with sub 9 only.	3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
3910	BANK FEE REIMBURSEMENT/WIRES	ACCOUNTING USE ONLY	3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
3915	SPECIAL HANDLING FEES	ACCOUNTING USE ONLY	3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
3920	WEST CAMPUS RENTAL REIMBURSE		3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
3995	ADMIN OH-RECHGS TO OTHER DEPTS	Non state-funded administrative support from auxiliary units.	3000 - 3999 FREIGHT, INDIRECT COST, RECHARGES
4100	TELEPHONE CHARGES-VARIOUS	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4101	FAX CHARGES		4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4110	PHONE SERVICES	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4111	TWO WAY RADIO MAINTENANCE	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4120	LOCAL CALLS	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4125	TOLL CALLS		4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4130	PHONE ONE-TIME CHARGES	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4135	OTHER PHONE CHARGES	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4140	VOICE MAIL	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4145	OTHER DATA CHARGES	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4150	CELLULAR TELEPHONE CHARGES	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4155	CABLE TELEVISION	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4160	TECHNICIAN LABOR	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4165	MATERIALS	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4170	RENTALS	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4180	VENDOR MAINTENANCE	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4190	OVERHEAD CHARGES	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4195	TAXES-SURCHARGES	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4199	LATE CHARGES	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4400	FIRST CLASS MAIL	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4410	BUSINESS REPLY	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4420	POSTAGE DUE	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4430	STAMPS	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4440	FOREIGN MAIL	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4450	FED-EX		4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4460	UPS		4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4470	OTHER FREIGHT		4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4475	PARCELS	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4480	BULK MAIL	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
4490	MAIL SERVICES-MISC	Typically Facilities & Administrative cost	4000 - 4999 COMMUNICATION, POSTAGE, DELIVERY
5000	RENTAL OF SPACE-INTERDEPT	Recharges for space or facilities on campus (UCEN, Cliff House, etc.)	5000 - 5999 RENTS, UTILITIES
5100	RENTAL OF SPACE	Rental and lease of space for facilities off-campus - the cost of renting or (charges excluded from overhead) leasing and maintaining off-campus facilities. Does not apply to room rental for special events, conference/workshop rentals, cylinder rentals or hotel room rentals. See 5150 and 5300	5000 - 5999 RENTS, UTILITIES
5150	RENTAL FOR EVENTS/OFF CAMPUS	Classroom rental, conference rooms	5000 - 5999 RENTS, UTILITIES
5200	UTILITY SERVICES-FM RECHARGE		5000 - 5999 RENTS, UTILITIES
5210	ELECTRICITY-UTILITIES PURCHASE		5000 - 5999 RENTS, UTILITIES
5220	WATER & SEWER-UTIL PURCHASE		5000 - 5999 RENTS, UTILITIES
5230	NATURAL GAS-UTILITIES PURCHASE		5000 - 5999 RENTS, UTILITIES
5250	OIL - UTILITIES PURCHASE		5000 - 5999 RENTS, UTILITIES
5260	PROPANE/BUTANE-UTIL PURCHASE		5000 - 5999 RENTS, UTILITIES
5270-79	USER DEFINED-UTIL PURCHASE	Used by Housing & Residential Services	5000 - 5999 RENTS, UTILITIES
5300	RENTAL OF EQUIPMENT-OTHER	From outside vendors. No purchase option. See 5400, 8080	5000 - 5999 RENTS, UTILITIES
5301-04	USER DEFINED - EQUIPMENT RENTALS	Same as 5300. May be used to categorize costs of this type.	5000 - 5999 RENTS, UTILITIES
5305	RENTAL OF COPY EQUIPMENT		5000 - 5999 RENTS, UTILITIES
5310	LEASE W/PURCHASE OPTION-EQUIP	Cancelable leases with purchase options	5000 - 5999 RENTS, UTILITIES
5320	SOFTWARE RENTAL/SITE LICENSES	For general campus use.	5000 - 5999 RENTS, UTILITIES
5322	COMPUTER CTR-SOFTWARE RENTAL	Site licenses. Computer Center use only.	5000 - 5999 RENTS, UTILITIES
5331	USER DEFINED - RENTALS		5000 - 5999 RENTS, UTILITIES
5400	RENTAL OF EQUIP-COMPUTER	From outside vendors. No purchase option. See 5300	5000 - 5999 RENTS, UTILITIES
5410	LEASE W/PURCHASE OPTION-COMPUT	Cancelable computer leases with purchase options	5000 - 5999 RENTS, UTILITIES
5500	RENTAL OF EQUIP-INTERDEPT	On campus - interdepartmental recharge only.	5000 - 5999 RENTS, UTILITIES
5505	TRANSFER COPY COST-INTERDEPT	On campus - interdepartmental recharge only -- Typically Facilities & Administrative cost	5000 - 5999 RENTS, UTILITIES
5600	CAPITAL LEASE PYMT-OTHER		5000 - 5999 RENTS, UTILITIES
5603	CAPITAL LEASE OTHER-PRINCIPAL		5000 - 5999 RENTS, UTILITIES
5604	CAPITAL LEASE OTHER-INTEREST		5000 - 5999 RENTS, UTILITIES
5700	CAPITAL LEASE-COMPUTER EQUIP		5000 - 5999 RENTS, UTILITIES
5703	CAPITAL LEASE COMPUTER EQ-PRIN		5000 - 5999 RENTS, UTILITIES
5704	CAPITAL LEASE COMPUTER EQ-INT		5000 - 5999 RENTS, UTILITIES
6000	PRINTING OF PUBLICATIONS		6000 - 6999 PRINTING, REPRODUCTION
6050	REPRODUCTION AND PHOTOCOPY	Use for outsourced services. Do not use for supplies, equipment. See 8015 -- Typically Facilities & Administrative cost	6000 - 6999 PRINTING, REPRODUCTION
6100	PRINTING OF FORMS/STATIONERY		6000 - 6999 PRINTING, REPRODUCTION
6200	BOOKS & LIBRARY MATERIALS	Non-inventorial collections.	6000 - 6999 PRINTING, REPRODUCTION
6210	REPRINTS	From academic journals/publishers. Reprint charge is taxable, article and page charges are non-taxable	6000 - 6999 PRINTING, REPRODUCTION
6300	LIBRARY BOOK BINDING		6000 - 6999 PRINTING, REPRODUCTION
7100	REPAIRS, ALTERATIONS & MAINT	Repairs, alterations, and maintenance. Currently used with vendor billings under Low Value and Purchase Order authorizations. FM recharges appear under 7150. Do not use with service agreements. Use 7260 for service and equipment maintenance agreements.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7101-09	USER DEFINED - REPAIRS & MAINT	Same as 7100. May be used to categorize costs of this type.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7125	CONSTRUCTION RELATED CONTRACTS	FM administered contracts for architectural, engineering and construction services.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7150	BUILDING MAINTENANCE RECHARGE	Repairs, alterations, and maintenance recharged through FM interdepartmental work orders.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7170	POLLUTION REMEDIATION COST		7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7185	MAINTENANCE-COMPUTER SOFTWARE	Use 7260 for general office equipment service, maintenance and repair	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7200	MISCELLANEOUS SERVICES	USE this code for "services for hire" vendors and -- Commissions related to events or performances -- Royalties related to events, performances or patents DO NOT USE 7200 with vendors who provide "advice". They are consultants and their services must be authorized under PO or Consulting Services Agreement negotiated by Contracts & Property--use 7235 DO NOT USE 7200 IF A SERVICE IS DEFINED ELSEWHERE IN THE TABLE. For example, -- Advertising--7230 or 7730 -- Architects, engineers, construction contractors--7125 -- Awards/Prizes (cash) to faculty or staff--PAYROLL -- Awards/Prizes (cash) to students, NOT budgeted to 78xxxx--7470 -- Awards/Prizes (cash) to students, budgeted to 78xxxx--7770 -- Awards/Gifts (non-cash) to UC or non-UC persons--7751 -- Consultants--7235 -- Employee development--7450 -- Equipment maintenance/service agreement--7260 -- Housing allowances for visiting scholars--use travel process -- Human subjects--7223 -- Incentive payments to survey participants--7223 -- Maintenance agreement--7260 -- Memberships/subscriptions--7220 or 7720 -- Participant support--7215, 7216 or 7217 -- Performance fees--7240 -- Permits, taxes, fees--7225 -- Post-doctoral fellowship grants--PAYROLL (7471 if non-payroll) -- Printing services--see 6xxx -- Prizes (cash or non-cash): contestant selected by chance--7751 -- Removal expenses--2700 & 2701 Continued on next page	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7200	MISCELLANEOUS SERVICES	-- Service of equipment--7260 or 7201-9 -- Sports officials fees--7222 -- Stipends--must conform to one of the following: o 7770--SCHOLARSHIP/FELLOWSHIP/STIPEND (78xxxx) o 7471--MISCELLANEOUS STIPENDS (non-78xxxx) o 7900--HONORARIA to scholars for academic activity o 7215--PARTICIPANT SUPPORT-GENERAL o 7216--PARTICIPANT SUPPORT-UNDERGRAD o 7217--PARTICIPANT SUPPORT-FACILITATORS (mentors) o 7200--MISCELLANEOUS SERVICES as covered by appropriate contract for independent personal services or consultation -- Subcontracts (KK's--7300 and/or 7305 -- Survey incentives--7223 Temporary services--7224	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7201-09	USER DEFINED - SERVICES	Same as 7200. May be used to categorize costs of this type.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7211	INTRADEPARTMENT TRANSFER	ACCOUNTING USE ONLY	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7212	CARRY FORWARD	ACCOUNTING USE ONLY	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7215	PARTICIPANT SUPPORT-GENERAL	Payments to or on behalf of participants/trainees in connection with a (charges excluded from overhead) sponsored project for items such as stipends (subsistence allowances), travel (NOT VALID WITH SUB 3) allowances, and registration fees in connection with meetings, conferences, symposia or training projects. If support is federally funded, participants cannot receive compensation, either directly or indirectly from other federal sources while participating in the project. Participant support costs must be separately identified in the budget and approved from the sponsoring agency. These charges are excluded from indirect cost if agency policy restricts assessment on participant costs. Guidance on the use of this code should be sought from departmental or Accounting personnel familiar with the particulars of the award in question. Amounts are tax reportable unless processed as fully substantiated reimbursements. Use 7216 for payments to undergraduates.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7216	PARTICIPANT SUPPORT-UNDERGRAD	Non-financial aid subsistence allowance payments to undergraduates in (charges excluded from overhead) connection with a sponsored project for the purpose of participating in a (NOT VALID WITH SUB 3) research experience program. Use 7770 only if budgeted to account 78xxxx. Budgetary disclosure requirements in 7215 apply. Amounts are not tax reportable, but may be taxable to the recipient.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7217	PARTICIPANT SUPPORT-FACILITATORS	Program support payments to voluntary participants, such as teachers, (charges excluded from overhead) providing peer group facilitation under sponsored projects. Budgetary (NOT VALID WITH SUB 3) disclosure requirements in 7215 apply. Amounts are tax reportable.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7220	MEMBERSHIPS/SUBS; FED ALLOW	Cost of the institution's membership in business, technical, and professional organizations and cost of subscriptions to periodicals issued by these organizations. Must use 7720 for civic, community, social memberships. Typically Facilities & Administrative cost	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7222	SPORT'S OFFICIALS FEES		7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7223	PAYMENTS TO HUMAN SUBJECTS	Includes the cost of incentives to survey participants. Must be disclosed in the research protocol--copy attached to payment request.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7224	TEMPORARY SERVICES	Provided by an outside agency -- Typically Facilities & Administrative cost	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7225	PERMITS-TAXES-FEES	Only research related permits can be charged to contracts and grants. Use 7700 for fines and penalties, 7229 for immigration processing expenses	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7226	CREDIT CARD FEES	Used by campus merchants to clear bank fees from balance sheet account	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7227	BANK FEES		7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7229	EMPLOYMENT VISAS	Legal expenses, INS fees, and related expenses paid in connection with obtaining temporary or permanent residency status	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7230	ADVERTISING;FEDERALLY CHARGED	Media costs of advertising for (1) personnel recruitment, (2) procurement of goods or services, (3) disposal of scrap or surplus materials, or (4) purposes necessary to meet the requirements of a sponsored agreement. Must use 7730 for public relations, all other media expenses, promotional items.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7235	CONSULTANTS	"CS" consulting service agreements negotiated by Business Services.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7240	PERFORMANCE FEES	Speakers, performers who do not meet the honoraria criteria	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7250	FOOD-BUSINESS MEET/CONFERENCES	Food & Beverages for Business Meeting/Conferences: Food and beverage costs of University business meetings or conferences held primarily for the dissemination of technical information or of an administrative nature. NOT used for entertainment and social activity expenses. Must use 7750 for alcohol, social activities, entertainment.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7255	CONFERENCE-CREDIT CARD CHARGES		7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7260	SERVICE OF EQUIPMENT	Service, maintenance and repair of office equipment, computers. Maintenance agreements for such.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7265	MICROFILM/FICHE SERVICES		7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7270	DEPRECIATION	For Accounting use only	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7275	INSURANCE		7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7280	SERVICES - DEPARTMENT RECHARGE	Charges from approved campus recharge units. Used with code 3900.	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7281	SPECIAL HANDLING FEES	ACCOUNTING USE ONLY	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7295	ON-CAMPUS WORK-STUDY	User department's share of Financial Aid's cost of administration. SURCHARGE	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
7299	ADMINISTRATIVE OVERHEAD	Recharges to auxiliary units - Accounting use only	7000 - 7999 FEES FOR SERVICES--NON-PAYROLL, OTHER COSTS
